seed,pull,iterations
pilot-seed-unknown,early,2012
pilot-seed-unknown,early,2001
pilot-seed-unknown,early,1964
pilot-seed-unknown,early,2048
pilot-seed-unknown,early,1990
pilot-seed-unknown,early,1974
pilot-seed-unknown,early,1987
pilot-seed-unknown,early,1960
pilot-seed-unknown,early,1941
pilot-seed-unknown,early,1990
pilot-seed-unknown,early,1941
pilot-seed-unknown,early,1993
pilot-seed-unknown,early,2004
pilot-seed-unknown,early,1957
pilot-seed-unknown,early,1984
pilot-seed-unknown,early,1972
pilot-seed-unknown,early,2004
pilot-seed-unknown,early,1942
pilot-seed-unknown,early,1954
pilot-seed-unknown,early,1951
pilot-seed-unknown,early,1960
pilot-seed-unknown,early,1998
pilot-seed-unknown,early,1993
pilot-seed-unknown,early,1943
pilot-seed-unknown,early,1986
pilot-seed-unknown,early,2042
pilot-seed-unknown,early,2032
pilot-seed-unknown,early,1991
pilot-seed-unknown,early,1968
pilot-seed-unknown,early,2027
pilot-seed-unknown,early,1999
pilot-seed-unknown,early,1972
pilot-seed-unknown,early,2018
pilot-seed-unknown,early,1989
pilot-seed-unknown,early,2046
pilot-seed-unknown,early,2008
pilot-seed-unknown,early,2053
pilot-seed-unknown,early,2014
pilot-seed-unknown,early,2007
pilot-seed-unknown,early,1961
pilot-seed-unknown,late,2318
pilot-seed-unknown,late,2354
pilot-seed-unknown,late,2281
pilot-seed-unknown,late,2334
pilot-seed-unknown,late,2320
pilot-seed-unknown,late,2381
pilot-seed-unknown,late,2300
pilot-seed-unknown,late,2307
pilot-seed-unknown,late,2306
pilot-seed-unknown,late,2246
pilot-seed-unknown,late,2276
pilot-seed-unknown,late,2326
pilot-seed-unknown,late,2333
pilot-seed-unknown,late,2336
pilot-seed-unknown,late,2305
pilot-seed-unknown,late,2354
pilot-seed-unknown,late,2328
pilot-seed-unknown,late,2334
pilot-seed-unknown,late,2290
pilot-seed-unknown,late,2284
pilot-seed-unknown,late,2285
pilot-seed-unknown,late,2394
pilot-seed-unknown,late,2313
pilot-seed-unknown,late,2350
pilot-seed-unknown,late,2298
pilot-seed-unknown,late,2330
pilot-seed-unknown,late,2276
pilot-seed-unknown,late,2257
